"","Length","freq"
"1",1.64,1
"2",1.87,1
"3",2.3,1
"4",2.48,1
"5",2.685,1
"6",2.7,2
"7",2.8,1
"8",2.87,1
"9",2.9,1
"10",3.05,1
"11",3.08,1
"12",3.28,1
"13",3.3,1
"14",3.39,1
"15",3.4,1
"16",3.5,2
"17",3.55,1
"18",3.59,1
"19",3.65,1
"20",3.7,1
"21",3.75,1
"22",3.76,1
"23",3.79,1
"24",3.8,1
"25",3.84,1
"26",3.86,1
"27",3.87,1
"28",3.92,1
"29",3.95,1
"30",4,11
"31",4.01,1
"32",4.02,1
"33",4.1,1
"34",4.23,1
"35",4.36,1
"36",4.4,1
"37",4.42,1
"38",4.46,1
"39",4.47,1
"40",4.5,3
"41",4.57,1
"42",4.8,2
"43",4.83,1
"44",4.9,1
"45",5,15
"46",5.01,1
"47",5.04,1
"48",5.05,1
"49",5.09,1
"50",5.19,1
"51",5.3,1
"52",5.4,1
"53",5.5,6
"54",5.6,1
"55",5.65,1
"56",5.76,1
"57",5.84,1
"58",5.9,1
"59",5.95,1
"60",6,17
"61",6.1,1
"62",6.2,1
"63",6.3,1
"64",6.4,2
"65",6.43,1
"66",6.5,7
"67",6.55,1
"68",6.6,1
"69",7,11
"70",7.1,1
"71",7.2,1
"72",7.3,1
"73",7.35,1
"74",7.36,1
"75",7.38,1
"76",7.4,2
"77",7.5,8
"78",7.55,1
"79",7.7,1
"80",7.8,1
"81",7.85,1
"82",7.9,1
"83",8,17
"84",8.49,1
"85",8.5,3
"86",8.6,1
"87",8.7,1
"88",8.9,3
"89",9,8
"90",9.1,1
"91",9.34,1
"92",9.5,3
"93",9.59,1
"94",10,25
"95",10.1,2
"96",10.2,1
"97",10.23,1
"98",10.3,1
"99",10.4,2
"100",10.5,1
"101",11,9
"102",11.1,1
"103",11.2,1
"104",11.5,1
"105",11.6,1
"106",12,9
"107",12.3,1
"108",12.5,2
"109",12.6,1
"110",13,5
"111",13.2,1
"112",13.5,1
"113",14,12
"114",14.16,1
"115",14.5,1
"116",15,10
"117",15.5,2
"118",16,3
"119",17,2
"120",18,5
"121",18.7,1
"122",19,2
"123",19.5,1
"124",19.6,1
"125",20,1
"126",21,1
"127",22,1
"128",25,2
"129",NA,45
